ToneOrder   AzOrder    TimeOrder     mtime     btime     rtime
        2         7       5.2714    4.2500    0.5408    0.4806
        4         6       3.9048    0.7083    0.8505    2.3459
        1         7       3.8048    0.7083    0.9090    2.1874
        4         4       4.4714    2.1250    0.7829    1.5636
        2         1       4.4048    2.1250    0.7759    1.5039
        4         1       3.5381    0.0000    0.7143    2.8238
        4         2       3.9048    0.7083    0.8595    2.3369
        4         1       4.0381    0.7083    0.7470    2.5828
        4         4       4.5714    2.1250    0.6222    1.8243
        3         4       3.6048    0.0000    0.5753    3.0295
        4         6       4.2381    1.4167    0.8661    1.9553
        4         5       4.0714    0.7083    0.6524    2.7106
        1         3       4.0714    1.4167    0.6227    2.0320
        3         6       4.3381    2.1250    0.7945    1.4186
        3         4       4.3048    1.4167    0.7982    2.0899
        1         3       3.7714    0.7083    0.8290    2.2341
        4         5       4.3381    1.4167    0.6661    2.2554
        3         5       3.6714    0.0000    0.5079    3.1636
        3         5       3.5381    0.0000    0.5028    3.0352
        2         3       4.3381    1.4167    0.7403    2.1812
        1         2       3.9048    0.7083    0.8517    2.3447
        3         4       4.2048    1.4167    0.6764    2.1117
        1         7       4.4381    2.1250    0.5602    1.7529
        2         7       3.6714    0.0000    0.5872    3.0842
        2         6       3.8048    0.7083    0.8274    2.2690
        4         7       3.9048    0.7083    0.8179    2.3785
        1         6       3.8714    0.7083    0.7362    2.4269
        4         3       4.3714    2.1250    0.7456    1.5008
        3         5       4.2381    1.4167    0.5949    2.2266
        3         7       4.2714    1.4167    0.7146    2.1402
        3         4       4.5381    2.1250    0.6604    1.7527
        2         4       3.7714    0.0000    0.7295    3.0419
        2         1       4.4714    2.1250    0.6363    1.7101
        4         1       3.5048    0.0000    0.7387    2.7661
        1         4       4.5714    2.1250    0.6752    1.7712
        2         5       4.0381    0.7083    0.7219    2.6078
        3         5       3.5381    0.0000    0.7845    2.7536
        2         3       4.2714    1.4167    0.8083    2.0464
        4         1       4.0714    1.4167    0.8051    1.8497
        2         4       4.3714    2.1250    0.5813    1.6651
        1         3       3.9381    0.7083    0.6077    2.6220
        3         2       3.8381    0.7083    0.7193    2.4105
        3         4       4.1381    1.4167    0.5866    2.1348
        4         2       4.2714    1.4167    0.5606    2.2942
        2         5       4.4048    2.1250    0.6051    1.6746
        1         7       4.1381    1.4167    0.6865    2.0349
        3         6       4.0381    0.7083    0.9286    2.4011
        3         5       3.9381    0.7083    0.6371    2.5927
        3         2       4.3714    2.1250    0.6586    1.5879
        1         1       3.9714    0.7083    0.7364    2.5267
        4         4       4.4714    2.1250    0.6894    1.6571
        3         4       3.5048    0.0000    0.7468    2.7580
        3         4       3.7381    0.0000    0.8569    2.8812
        2         4       3.5381    0.0000    0.5648    2.9733
        3         5       4.0048    0.7083    0.6746    2.6218
        3         2       4.5048    2.1250    0.5378    1.8420
        4         1       3.9524    0.7083    0.6057    2.6384
        1         1       3.5524    0.0000    0.7709    2.7815
        2         1       3.6857    0.0000    0.7383    2.9474
        4         4       4.6190    2.1250    0.8181    1.6760
        2         2       4.3190    1.4167    0.5802    2.3222
        2         1       3.8857    0.7083    0.7347    2.4427
        4         3       4.2524    1.4167    0.6303    2.2054
        4         5       4.1524    1.4167    0.8456    1.8901
        2         3       4.1857    1.4167    0.7937    1.9754
        1         5       4.3190    1.4167    0.8104    2.0919
        1         6       3.9524    0.7083    0.7196    2.5244
        3         4       4.1524    1.4167    0.5778    2.1579
        4         7       4.4190    2.1250    0.5931    1.7010
        1         5       4.2190    1.4167    0.6813    2.1211
        2         2       4.6190    2.1250    0.6881    1.8059
        4         5       4.5190    2.1250    0.7297    1.6643
        4         3       4.1524    1.4167    0.5904    2.1453
        1         5       4.1524    1.4167    0.7161    2.0196
        2         2       4.6190    2.1250    0.6310    1.8631
        3         2       3.7190    0.0000    0.5703    3.1487
        4         3       3.9857    0.7083    0.5746    2.7028
        1         1       4.0857    1.4167    0.6862    1.9829
